From,To,Strength,Technique,Description,Collator,Reference
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Ventral premammillary nucleus (PMv),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep, in zone c; earlier: Veening 1978 Neurosci. Lett. 8:197-202, rat, retrograde HRP",Larry Swanson,"Canteras N.S.,... - Projections of the ventral premammillary... (1992) , pp. 195-212"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer c (MEApd-c)",very strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Basolateral nucleus of the amygdala posterior part (BLAp),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,Collator note: see Fig 14 Aa.,Mihail Bota,"Savander V., Go... - Intrinsic connections of the rat... (1995) , pp. 345-368"
Infralimbic area (ILA),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,PHAL,"The projections to the superficial amygdaloid nuclei were very dense (nucleus of the lateral olfactory tract, periamygdaloid cortex, medial nucleus and cortical nuclei Figs 3, 4B). Collator note: dense labeling in these nuclei, but not across all related Atlas Levels. For MEAp regions, strong labeling in all layers, rostrally. Fig. 3C, Swanson Atlas Levels 27-28 (-2.3 mm from bregma).",Mihail Bota,"Mcdonald AJ,... - Projections of the medial and lateral... (1996) , pp. 55-75"
Subiculum ventral part (SUBv),Medial nucleus of the amygdala posterodorsal part (MEApd),strong,biotinylated dextran amine (BDA),"Proceeding caudally, more labeled fibers were distributed in the Me (Fig. 3B). Collator note: strong labeling of the rostral MEApd. See Fig. 3B, Swanson Atlas Levels 27-28.",Mihail Bota,"Kishi T., Tsumori... - Topographical projection from the... (2006) , pp. 348-368"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Bed nuclei of the stria terminalis posterior division principal nucleus (BSTpr),"Medial nucleus of the amygdala posterodorsal part,sublayer a (MEApd-a)",strong,PHAL,No description provided.,Hong-Wei Dong,"Dong H.W., Swanson... - Projections from bed nuclei of the stria... (2004) , pp. 396-433"
Cortical nucleus of the amygdala posterior part medial zone (COApm),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA contained an exceedingly dense plexus of labeled fibers and boutons, which, interestingly enough, tend to avoid the deepest sublayer in its posterodorsal subdivision (Fig. 8L,M), and the anteroventral part (Fig. 8K). Collator note: MEApv is shown being heavily labeled. Swanson Atlas Levels 24-30.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,PHAL,"very dense, especially deep",Larry Swanson,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
Posterior nucleus of the amygdala (PA),Medial nucleus of the amygdala posterodorsal part (MEApd),very strong,Fluorogold,"The MEA is the main intraamygdaloid target of projections from the PA. Labeled fibers coursing rostrally from an injection site in the PA form in the posterodorsal part of this nucleus an impressive terminal field, which is particularly dense within the deepest zone of the cell layer (Fig. 6K,L). Collator note: Swanson Atlas Levels 29-32.",Mihail Bota,"Canteras N.S.,... - Connections of the posterior nucleus of... (1992) , pp. 143-79"
